"","Account","Type","Date","Num","Name","Memo","Split","Debit","Credit","Balance"
"83","Company Checking Account","Bill Pmt -Check","2018-03-05","3067","Peacock Bulb Manufacturing Company",NA,"Accounts Payable",NA,9142.5,41010.76
"84","Company Checking Account","Check","2018-03-08","5062","Gas & Electic Company","ACCT# 098703","Utilities",NA,48.08,40962.68
"85","Company Checking Account","Paycheck","2018-03-15","3010","King, Vicki",NA,"-SPLIT-",NA,217.72,40744.96
"86","Company Checking Account","Check","2018-03-15","5066","Automobile Loan Company","Car lease","Car Lease",NA,563,40181.96
"87","Company Checking Account","Liability Check","2018-03-15","5065","Sec125 Administrator","Acct#  870547","SEC125 Payable",NA,100,40081.96
"88","Company Checking Account","Paycheck","2018-03-15","3011","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,39771.18
"89","Company Checking Account","Paycheck","2018-03-15","3012","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,39552.22
"90","Company Checking Account","Liability Check","2018-03-15","5348","Local Bank","55-5555555","-SPLIT-",NA,1231.22,38321
"91","Company Checking Account","Deposit","2018-03-17",NA,NA,"Deposit","-SPLIT-",10731,NA,49052
"92","Company Checking Account","Bill Pmt -Check","2018-03-20","3068","Foster Lighting",NA,"Accounts Payable",NA,8450,40602
"93","Company Checking Account","Bill Pmt -Check","2018-03-20","3069","Paulsen's Lighting",NA,"Accounts Payable",NA,3886,36716
"94","Company Checking Account","Check","2018-03-22","5069","Office Supply Store","Acct# 27804","Supplies",NA,452.13,36263.87
"95","Company Checking Account","Check","2018-03-22","5068","Cell Phone Company","Cell","Telephone",NA,101.57,36162.3
"96","Company Checking Account","Check","2018-03-22","5070","Local Phone Company","6503221414","Telephone",NA,211.56,35950.74
"97","Company Checking Account","Check","2018-03-22","5071","Fisse Fast Package Delivery","ACCT# 256044025","Postage and Delivery",NA,78,35872.74
"98","Company Checking Account","Check","2018-03-26","5073","Health Insurance Co.","Employee Health Insurance Policy#258BVF4","-SPLIT-",NA,543.83,35328.91
"99","Company Checking Account","Check","2018-03-26","5072","Pace Shipping Supplies","Acct# 45980","Office Equipment",NA,25,35303.91
"100","Company Checking Account","Check","2018-03-26","5074","Payroll Service Co.","March Payroll","Payroll Service Fees",NA,135.6,35168.31
"101","Company Checking Account","Check","2018-03-26","5075","Deborah Wood (Owner)","Owner's Draw","Deborah Wood Draws",NA,10000,25168.31
"102","Company Checking Account","Check","2018-03-30","5077","Jeff's Janitorial","Monthly Fees","Maintenance/Janitorial",NA,200,24968.31
"103","Company Checking Account","Check","2018-03-30","5076","Automobile Insurance Company","Auto Insurance Policy # 14906","Insurance-Auto",NA,120,24848.31
"104","Company Checking Account","Check","2018-03-30","5078","Credit Card","ACCT# 3786401297855001","QuickBooks Credit Card",NA,682.23,24166.08
"105","Company Checking Account","Deposit","2018-03-31",NA,NA,"Deposit","-SPLIT-",19958.45,NA,44124.53
"106","Company Checking Account","Check","2018-04-02","5079","Kuver Property","April Rent","Rent",NA,583.75,43540.78
"107","Company Checking Account","Paycheck","2018-04-02","3012","King, Vicki",NA,"-SPLIT-",NA,117.72,43423.06
"108","Company Checking Account","Paycheck","2018-04-02","3013","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,43112.28
"109","Company Checking Account","Paycheck","2018-04-02","3014","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,42893.32
"110","Company Checking Account","Check","2018-04-04","5081","Local Bank","Interest on Line of Credit Mar 07","Interest Expense",NA,81.56,42811.76
"111","Company Checking Account","Check","2018-04-04","5080","Gretton Insurance Co.","Apr 07 WC Policy # 87023, Gen Liab. #14B09","-SPLIT-",NA,461.84,42349.92
"112","Company Checking Account","Bill Pmt -Check","2018-04-05","3070","Foster Lighting","Cust ID#0987-01A","Accounts Payable",NA,705,41644.92
"113","Company Checking Account","Bill Pmt -Check","2018-04-05","3071","Paulsen's Lighting",NA,"Accounts Payable",NA,20950,20694.92
"114","Company Checking Account","Check","2018-04-09","5082","Gas & Electic Company","ACCT# 098703","Utilities",NA,25.12,20669.8
"115","Company Checking Account","Paycheck","2018-04-15","3015","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,20359.02
"116","Company Checking Account","Paycheck","2018-04-15","3016","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,20140.06
"117","Company Checking Account","Deposit","2018-04-15",NA,NA,"Deposit","-SPLIT-",3111,NA,23251.06
"118","Company Checking Account","Liability Check","2018-04-15","5349","Local Bank","55-5555555","-SPLIT-",NA,1201.2,22049.86
"119","Company Checking Account","Paycheck","2018-04-16","3014","King, Vicki",NA,"-SPLIT-",NA,130.64,21919.22
"120","Company Checking Account","Check","2018-04-16","5087","Automobile Loan Company","Car lease","Car Lease",NA,563,21356.22
"121","Company Checking Account","Liability Check","2018-04-16","5086","Sec125 Administrator","Acct#  870547","SEC125 Payable",NA,100,21256.22
"122","Company Checking Account","Check","2018-04-20","5088","Novello Lights Magazine","Q2 07 Ad","Advertising Expense",NA,500,20756.22
"123","Company Checking Account","Check","2018-04-23","5090","Office Supply Store","Acct# 27804","Supplies",NA,120,20636.22
"124","Company Checking Account","Check","2018-04-23","5091","Cell Phone Company","Cell","Telephone",NA,100.23,20535.99
"125","Company Checking Account","Check","2018-04-23","5094","Local Phone Company","6503221414","Telephone",NA,203.56,20332.43
"126","Company Checking Account","Check","2018-04-23","5093","Jonathan Graham (reimbursments)","3103 Expense Report","-SPLIT-",NA,115.63,20216.8
"127","Company Checking Account","Check","2018-04-23","5089","King, Vicki",NA,"-SPLIT-",NA,54.12,20162.68
"128","Company Checking Account","Check","2018-04-23","5095","Deborah Wood (Owner)","33103 Exp Report","-SPLIT-",NA,1249.54,18913.14
"129","Company Checking Account","Check","2018-04-23","5096","Jeff's Janitorial","supplies","Maintenance/Janitorial",NA,157,18756.14
"130","Company Checking Account","Check","2018-04-23","5097","Fisse Fast Package Delivery","ACCT# 256044025","Postage and Delivery",NA,78,18678.14
"131","Company Checking Account","Check","2018-04-23","5092","Department of Automobiles","Auto Registration","Registration & License",NA,546,18132.14
"132","Company Checking Account","Check","2018-04-25","5099","Health Insurance Co.","Employee Health Insurance Policy#258BVF4","-SPLIT-",NA,543.83,17588.31
"133","Company Checking Account","Check","2018-04-25","5098","Pace Shipping Supplies","Acct# 45980","Office Equipment",NA,25,17563.31
"134","Company Checking Account","Check","2018-04-25","5100","Deborah Wood (Owner)","Owner's Draw","Deborah Wood Draws",NA,11750,5813.31
"135","Company Checking Account","Check","2018-04-26","5101","Payroll Service Co.","April Payroll","Payroll Service Fees",NA,142,5671.31
"136","Company Checking Account","Check","2018-04-30","5106","Jeff's Janitorial","Monthly Fees","Maintenance/Janitorial",NA,200,5471.31
"137","Company Checking Account","Check","2018-04-30","5104","Automobile Insurance Company","Auto Insurance Policy # 14906","Insurance-Auto",NA,120,5351.31
"138","Company Checking Account","Check","2018-04-30","5105","Credit Card","ACCT# 3786401297855001","QuickBooks Credit Card",NA,143.75,5207.56
"139","Company Checking Account","Bill Pmt -Check","2018-04-30","5102","Fisse Fast Package Delivery","ACCT# 256044025","Accounts Payable",NA,164,5043.56
"140","Company Checking Account","Bill Pmt -Check","2018-04-30","5103","Printing Shop","Inv#","Accounts Payable",NA,285,4758.56
"141","Company Checking Account","Deposit","2018-04-30",NA,NA,"Deposit","Undeposited Funds",3025,NA,7783.56
"142","Company Checking Account","Check","2018-05-01","5107","Kuver Property","May Rent","Rent",NA,583.75,7199.81
"143","Company Checking Account","Paycheck","2018-05-01","3016","King, Vicki",NA,"-SPLIT-",NA,30.64,7169.17
"144","Company Checking Account","Paycheck","2018-05-01","3017","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,6858.39
"145","Company Checking Account","Paycheck","2018-05-01","3018","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,6639.43
"146","Company Checking Account","Deposit","2018-05-01",NA,NA,"Deposit","-SPLIT-",34194.85,NA,40834.28
"147","Company Checking Account","Check","2018-05-04","5109","Local Bank","Interest on Line of Credit Apr 07","Interest Expense",NA,82.98,40751.3
"148","Company Checking Account","Check","2018-05-04","5108","Gretton Insurance Co.","May 07 WC Policy # 87023, Gen Liab. #14B09","-SPLIT-",NA,461.84,40289.46
"149","Company Checking Account","Check","2018-05-08","5110","Gas & Electic Company","ACCT# 098703","Utilities",NA,22.1,40267.36
"150","Company Checking Account","Liability Check","2018-05-13","5350","Local Bank","55-5555555","-SPLIT-",NA,1122.37,39144.99
"151","Company Checking Account","Liability Check","2018-05-13","5351","Local Bank","55-5555555","-SPLIT-",NA,1015.63,38129.36
"152","Company Checking Account","Check","2018-05-15","5115","Lawson Professional Seminars, Inc.","Summer Seminar #707","Conferences and Seminars",NA,350,37779.36
"153","Company Checking Account","Paycheck","2018-05-15","3018","King, Vicki",NA,"-SPLIT-",NA,30.64,37748.72
"154","Company Checking Account","Check","2018-05-15","5116","Automobile Loan Company","Car lease","Car Lease",NA,563,37185.72
"155","Company Checking Account","Liability Check","2018-05-15","5114","Sec125 Administrator","Acct#  870547","SEC125 Payable",NA,100,37085.72
"156","Company Checking Account","Transfer","2018-05-15",NA,NA,"Funds Transfer","Line of Credit",25000,NA,62085.72
"157","Company Checking Account","Paycheck","2018-05-15","3019","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,61774.94
"158","Company Checking Account","Paycheck","2018-05-15","3020","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,61555.98
"159","Company Checking Account","Deposit","2018-05-16",NA,NA,"Deposit","-SPLIT-",10525,NA,72080.98
"160","Company Checking Account","Bill Pmt -Check","2018-05-20","3072","Foster Lighting",NA,"Accounts Payable",NA,5550,66530.98
"161","Company Checking Account","Bill Pmt -Check","2018-05-20","3073","Hall Lighting & Accessories",NA,"Accounts Payable",NA,6747.5,59783.48
"162","Company Checking Account","Bill Pmt -Check","2018-05-20","3074","Paulsen's Lighting",NA,"Accounts Payable",NA,7925,51858.48
"163","Company Checking Account","Check","2018-05-22","5120","Cell Phone Company","Cell","Telephone",NA,107.45,51751.03
"164","Company Checking Account","Check","2018-05-22","5117","Local Phone Company","6503221414","Telephone",NA,197.25,51553.78
"165","Company Checking Account","Check","2018-05-22","5118","Deborah Wood (Owner)","Petty Cash","-SPLIT-",NA,482.57,51071.21
"166","Company Checking Account","Check","2018-05-22","5119","Accounting Firm","2006 Tax Returns","Accounting Fees",NA,1554,49517.21
"167","Company Checking Account","Check","2018-05-22","5121","Fisse Fast Package Delivery","ACCT# 256044025","Postage and Delivery",NA,78,49439.21
"168","Company Checking Account","Check","2018-05-23","5122","Office Supply Store","Acct# 27804","Supplies",NA,327.16,49112.05
"169","Company Checking Account","Check","2018-05-25","5125","Health Insurance Co.","Employee Health Insurance Policy#258BVF4","-SPLIT-",NA,543.83,48568.22
"170","Company Checking Account","Check","2018-05-25","5126","Pace Shipping Supplies","Acct# 45980","Office Equipment",NA,25,48543.22
"171","Company Checking Account","Check","2018-05-25","5127","Payroll Service Co.","Payroll  Fee","Payroll Service Fees",NA,129,48414.22
"172","Company Checking Account","Check","2018-05-25","5124","Deborah Wood (Owner)","Owner's Draw","Deborah Wood Draws",NA,12000,36414.22
"173","Company Checking Account","Check","2018-05-31","5131","Jeff's Janitorial","Monthly Fees","Maintenance/Janitorial",NA,200,36214.22
"174","Company Checking Account","Check","2018-05-31","5133","Automobile Insurance Company","Auto Insurance Policy # 14906","Insurance-Auto",NA,120,36094.22
"175","Company Checking Account","Check","2018-05-31","5132","Credit Card","ACCT# 3786401297855001","QuickBooks Credit Card",NA,65,36029.22
"176","Company Checking Account","Check","2018-05-31","5134","Jonathan Graham (reimbursments)","Seminar Travel","Travel",NA,191,35838.22
"177","Company Checking Account","Bill Pmt -Check","2018-05-31","5129","Fisse Fast Package Delivery","ACCT# 256044025","Accounts Payable",NA,164,35674.22
"178","Company Checking Account","Bill Pmt -Check","2018-05-31","5130","Printing Shop","Inv#","Accounts Payable",NA,160,35514.22
"179","Company Checking Account","Check","2018-06-01","5135","Kuver Property","June Rent","Rent",NA,583.75,34930.47
"180","Company Checking Account","Paycheck","2018-06-01","3020","King, Vicki",NA,"-SPLIT-",NA,130.64,34799.83
"181","Company Checking Account","Paycheck","2018-06-01","3021","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,34489.05
"182","Company Checking Account","Paycheck","2018-06-01","3022","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,34270.09
"183","Company Checking Account","Deposit","2018-06-02",NA,NA,"Deposit","-SPLIT-",14735.85,NA,49005.94
"184","Company Checking Account","Check","2018-06-04","5136","Local Bank","Interest on Line of Credit May 07","Interest Expense",NA,125.89,48880.05
"185","Company Checking Account","Check","2018-06-04","5137","Gretton Insurance Co.","June 07 WC Policy # 87023, Gen Liab. #14B09","-SPLIT-",NA,461.84,48418.21
"186","Company Checking Account","Bill Pmt -Check","2018-06-05","3075","Foster Lighting",NA,"Accounts Payable",NA,2840,45578.21
"187","Company Checking Account","Check","2018-06-12","5139","Gas & Electic Company","ACCT# 098703","Utilities",NA,22.07,45556.14
"188","Company Checking Account","Paycheck","2018-06-15","3022","King, Vicki",NA,"-SPLIT-",NA,30.64,45525.5
"189","Company Checking Account","Check","2018-06-15","5142","Automobile Loan Company","Car lease","Car Lease",NA,563,44962.5
"190","Company Checking Account","Liability Check","2018-06-15","5143","Sec125 Administrator","Acct#  870547","SEC125 Payable",NA,100,44862.5
"191","Company Checking Account","Paycheck","2018-06-15","3023","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,44551.72
"192","Company Checking Account","Paycheck","2018-06-15","3024","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,44332.76
"193","Company Checking Account","Deposit","2018-06-16",NA,NA,"Deposit","-SPLIT-",18433.45,NA,62766.21
"194","Company Checking Account","Check","2018-06-22","5148","Local Phone Company","6503221414","Telephone",NA,221.32,62544.89
"195","Company Checking Account","Check","2018-06-22","5144","Electronics Manufacturer","New laptop computer","Computer & Office Equipment",NA,2500,60044.89
"196","Company Checking Account","Check","2018-06-22","5145","Lincoln Office Equip.",NA,"Office Equipment",NA,350,59694.89
"197","Company Checking Account","Check","2018-06-22","5146","Fisse Fast Package Delivery","ACCT# 256044025","Postage and Delivery",NA,78,59616.89
"198","Company Checking Account","Check","2018-06-22","5147","Mullen Travel","Air Fare for Convention","-SPLIT-",NA,2500,57116.89
"199","Company Checking Account","Check","2018-06-25","5151","Health Insurance Co.","Employee Health Insurance Policy#258BVF4","-SPLIT-",NA,543.83,56573.06
"200","Company Checking Account","Check","2018-06-25","5153","Pace Shipping Supplies","Acct# 45980","Office Equipment",NA,25,56548.06
"201","Company Checking Account","Check","2018-06-25","5149","Office Supply Store","Acct# 27804","Supplies",NA,123.54,56424.52
"202","Company Checking Account","Check","2018-06-25","5150","Cell Phone Company","Cell","Telephone",NA,101.78,56322.74
"203","Company Checking Account","Check","2018-06-25","5152","Payroll Service Co.","Payroll  Fee","Payroll Service Fees",NA,123.08,56199.66
"204","Company Checking Account","Check","2018-06-25","5154","Deborah Wood (Owner)","Owner's Draw","Deborah Wood Draws",NA,11250,44949.66
"205","Company Checking Account","Transfer","2018-06-25",NA,NA,"Funds Transfer","Line of Credit",25000,NA,69949.66
"206","Company Checking Account","Check","2018-06-29","5157","Jeff's Janitorial","Monthly Fees","Maintenance/Janitorial",NA,200,69749.66
"207","Company Checking Account","Check","2018-06-29","5158","Automobile Insurance Company","Auto Insurance Policy # 14906","Insurance-Auto",NA,120,69629.66
"208","Company Checking Account","Check","2018-06-29","5159","Credit Card","ACCT# 3786401297855001","QuickBooks Credit Card",NA,23.6,69606.06
"209","Company Checking Account","Bill Pmt -Check","2018-06-29","5155","Fisse Fast Package Delivery","ACCT# 256044025","Accounts Payable",NA,148,69458.06
"210","Company Checking Account","Bill Pmt -Check","2018-06-29","5156","Printing Shop","Inv#","Accounts Payable",NA,1000,68458.06
"211","Company Checking Account","Deposit","2018-06-30",NA,NA,"Deposit","-SPLIT-",8533.8,NA,76991.86
"212","Company Checking Account","Paycheck","2018-07-01","3025","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,76681.08
"213","Company Checking Account","Paycheck","2018-07-01","3026","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,76462.12
"214","Company Checking Account","Check","2018-07-02","5160","Kuver Property","July Rent","Rent",NA,583.75,75878.37
"215","Company Checking Account","Paycheck","2018-07-02","3024","King, Vicki",NA,"-SPLIT-",NA,30.64,75847.73
"216","Company Checking Account","Check","2018-07-03","5161","Local Bank","Interest on Line of Credit Jun 07","Interest Expense",NA,156.65,75691.08
"217","Company Checking Account","Check","2018-07-03","5162","Gretton Insurance Co.","July 07 WC Policy # 87023, Gen Liab. #14B09","-SPLIT-",NA,461.84,75229.24
"218","Company Checking Account","Bill Pmt -Check","2018-07-05","3076","Foster Lighting",NA,"Accounts Payable",NA,3150,72079.24
"219","Company Checking Account","Bill Pmt -Check","2018-07-05","3077","Paulsen's Lighting",NA,"Accounts Payable",NA,3625,68454.24
"220","Company Checking Account","Check","2018-07-12","5164","Gas & Electic Company","ACCT# 098703","Utilities",NA,28.47,68425.77
"221","Company Checking Account","Paycheck","2018-07-15","3027","Bolinski, Rafal",NA,"-SPLIT-",NA,310.78,68114.99
"222","Company Checking Account","Paycheck","2018-07-15","3028","Deen, Jeannette",NA,"-SPLIT-",NA,218.96,67896.03
"223","Company Checking Account","Liability Check","2018-07-15","5352","Local Bank","55-5555555","-SPLIT-",NA,1043.54,66852.49
"224","Company Checking Account","Liability Check","2018-07-16","5167","Sec125 Administrator","Acct#  870547","SEC125 Payable",NA,100,66752.49
